2023-12-24 20:26:22,730 [main.py         | 48] INFO: Start to run instance_1
2023-12-24 20:26:22,730 [simulate_api.py | 60] INFO: Start time of the simulator: 2023-12-24 00:00:00, time interval:  600.00
2023-12-24 20:26:22,737 [input_utils.py  | 48] INFO: Get 154 factories
2023-12-24 20:26:23,177 [input_utils.py  | 52] INFO: Get 23562 routes
2023-12-24 20:26:23,197 [input_utils.py  | 57] INFO: Get 5 vehicles
2023-12-24 20:26:23,201 [input_utils.py  | 61] INFO: Get 50 orders
2023-12-24 20:26:23,201 [simulate_api.py | 87] INFO: Initial position of V_1 is e2d5093fbe36431f8986ddb0e1c586be
2023-12-24 20:26:23,201 [simulate_api.py | 87] INFO: Initial position of V_2 is 7fe14b93f0f04ee7a994ef5b2c1fdb72
2023-12-24 20:26:23,201 [simulate_api.py | 87] INFO: Initial position of V_3 is fa366fc87a124d32926daa5bb093129f
2023-12-24 20:26:23,201 [simulate_api.py | 87] INFO: Initial position of V_4 is e47399648fa842b2b8f80094343d8091
2023-12-24 20:26:23,201 [simulate_api.py | 87] INFO: Initial position of V_5 is becb4f85393540b287e7329758b8d832
2023-12-24 20:26:23,201 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:23,201 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 00:10:00, pre time: 2023-12-24 00:00:00
2023-12-24 20:26:23,201 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 00:10:00
2023-12-24 20:26:23,202 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 0 ongoing order items, 0 completed order items
2023-12-24 20:26:23,448 [simulate_environment.py | 253] INFO: 2023-12-24 00:10:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:23,448 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:23,448 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 00:20:00, pre time: 2023-12-24 00:10:00
2023-12-24 20:26:23,449 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 00:20:00
2023-12-24 20:26:23,449 [simulate_environment.py | 167] INFO: Get 3 unallocated order items, 0 ongoing order items, 0 completed order items
2023-12-24 20:26:23,692 [simulate_environment.py | 253] INFO: 2023-12-24 00:20:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:23,693 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:23,693 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 00:30:00, pre time: 2023-12-24 00:20:00
2023-12-24 20:26:23,693 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 00:30:00
2023-12-24 20:26:23,693 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 1 ongoing order items, 0 completed order items
2023-12-24 20:26:23,933 [simulate_environment.py | 253] INFO: 2023-12-24 00:30:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:23,933 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:23,934 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 00:40:00, pre time: 2023-12-24 00:30:00
2023-12-24 20:26:23,934 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 00:40:00
2023-12-24 20:26:23,934 [simulate_environment.py | 167] INFO: Get 8 unallocated order items, 1 ongoing order items, 0 completed order items
2023-12-24 20:26:24,232 [simulate_environment.py | 253] INFO: 2023-12-24 00:40:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:24,233 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:24,233 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 00:50:00, pre time: 2023-12-24 00:40:00
2023-12-24 20:26:24,233 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 00:50:00
2023-12-24 20:26:24,234 [simulate_environment.py | 167] INFO: Get 5 unallocated order items, 4 ongoing order items, 0 completed order items
2023-12-24 20:26:24,482 [simulate_environment.py | 253] INFO: 2023-12-24 00:50:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:24,482 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:24,482 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 01:00:00, pre time: 2023-12-24 00:50:00
2023-12-24 20:26:24,483 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 01:00:00
2023-12-24 20:26:24,483 [simulate_environment.py | 167] INFO: Get 5 unallocated order items, 3 ongoing order items, 1 completed order items
2023-12-24 20:26:24,730 [simulate_environment.py | 253] INFO: 2023-12-24 01:00:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:24,730 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:24,730 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 01:10:00, pre time: 2023-12-24 01:00:00
2023-12-24 20:26:24,730 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 01:10:00
2023-12-24 20:26:24,731 [simulate_environment.py | 167] INFO: Get 5 unallocated order items, 3 ongoing order items, 1 completed order items
2023-12-24 20:26:25,013 [simulate_environment.py | 253] INFO: 2023-12-24 01:10:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:25,013 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:25,013 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 01:20:00, pre time: 2023-12-24 01:10:00
2023-12-24 20:26:25,013 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 01:20:00
2023-12-24 20:26:25,014 [simulate_environment.py | 167] INFO: Get 5 unallocated order items, 3 ongoing order items, 1 completed order items
2023-12-24 20:26:25,264 [simulate_environment.py | 253] INFO: 2023-12-24 01:20:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:25,264 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:25,265 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 01:30:00, pre time: 2023-12-24 01:20:00
2023-12-24 20:26:25,265 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 01:30:00
2023-12-24 20:26:25,265 [simulate_environment.py | 167] INFO: Get 5 unallocated order items, 3 ongoing order items, 1 completed order items
2023-12-24 20:26:25,570 [simulate_environment.py | 253] INFO: 2023-12-24 01:30:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:25,570 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:25,570 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 01:40:00, pre time: 2023-12-24 01:30:00
2023-12-24 20:26:25,570 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 01:40:00
2023-12-24 20:26:25,571 [simulate_environment.py | 167] INFO: Get 4 unallocated order items, 4 ongoing order items, 1 completed order items
2023-12-24 20:26:25,806 [simulate_environment.py | 253] INFO: 2023-12-24 01:40:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:25,807 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:25,807 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 01:50:00, pre time: 2023-12-24 01:40:00
2023-12-24 20:26:25,807 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 01:50:00
2023-12-24 20:26:25,807 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 4 ongoing order items, 4 completed order items
2023-12-24 20:26:26,113 [simulate_environment.py | 253] INFO: 2023-12-24 01:50:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:26,113 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:26,113 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 02:00:00, pre time: 2023-12-24 01:50:00
2023-12-24 20:26:26,114 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 02:00:00
2023-12-24 20:26:26,114 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 4 ongoing order items, 4 completed order items
2023-12-24 20:26:26,353 [simulate_environment.py | 253] INFO: 2023-12-24 02:00:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:26,354 [simulate_environment.py | 99] INFO: **************************************************
